TIME,SYMBOL,EX,PRICE,SIZE,COND,BID,BIDSIZ,OFR,OFRSIZ,SIGN
2017-09-19 09:30:00,BAC,P,24.7,20000, ,24.72,6,24.74,100,-1
2017-09-19 09:30:01,BAC,T,24.71,300, ,24.72,6,24.74,100,-1
2017-09-19 09:30:01,BAC,P,24.7,100, ,24.72,6,24.74,100,-1
2017-09-19 09:30:02,BAC,N,24.73,429950, ,24.72,6,24.74,100,1
2017-09-19 09:30:02,BAC,N,24.72,100, ,24.72,35,24.74,420,-1
2017-09-19 09:30:03,BAC,T,24.725,200, ,24.72,9,24.73,4,1
2017-09-19 09:30:03,BAC,B,24.73,100, ,24.72,9,24.73,4,1
2017-09-19 09:30:03,BAC,K,24.73,3500, ,24.72,55,24.74,525,1
2017-09-19 09:30:03,BAC,N,24.73,778, ,24.72,51,24.74,424,1
2017-09-19 09:30:03,BAC,T,24.72,1645, ,24.71,68,24.72,137,1
2017-09-19 09:30:03,BAC,N,24.71,800, ,24.7,481,24.72,31,-1
2017-09-19 09:30:03,BAC,N,24.71,100, ,24.71,31,24.72,29,-1
2017-09-19 09:30:03,BAC,P,24.71,67, ,24.71,7,24.72,3,-1
2017-09-19 09:30:03,BAC,Z,24.7125,300, ,24.71,18,24.725,7,-1
2017-09-19 09:30:03,BAC,K,24.71,300, ,24.71,39,24.72,44,-1
2017-09-19 09:30:03,BAC,P,24.71,4400, ,24.7,1607,24.71,76,1
2017-09-19 09:30:03,BAC,Y,24.71,100, ,24.7,163,24.72,10,-1
2017-09-19 09:30:03,BAC,N,24.7,14673, ,24.7,30,24.72,18,-1
2017-09-19 09:30:03,BAC,P,24.71,100, ,24.7,13,24.72,9,1
2017-09-19 09:30:03,BAC,P,24.71,400, ,24.7,13,24.72,9,1
2017-09-19 09:30:03,BAC,B,24.709,13, ,24.7,13,24.72,9,-1
2017-09-19 09:30:03,BAC,B,24.709,830, ,24.7,13,24.72,9,-1
2017-09-19 09:30:03,BAC,Y,24.709,754, ,24.7,13,24.72,9,-1
2017-09-19 09:30:03,BAC,Y,24.709,200, ,24.7,13,24.72,9,-1
2017-09-19 09:30:03,BAC,N,24.709,667, ,24.7,13,24.72,9,-1
2017-09-19 09:30:03,BAC,N,24.709,200, ,24.7,13,24.72,9,-1
2017-09-19 09:30:03,BAC,N,24.709,36, ,24.7,13,24.72,9,-1
2017-09-19 09:30:03,BAC,K,24.71,100, ,24.7,13,24.72,9,1
2017-09-19 09:30:03,BAC,N,24.71,1200, ,24.7,84,24.72,73,1
2017-09-19 09:30:03,BAC,K,24.71,100, ,24.7,68,24.71,36,1
2017-09-19 09:30:03,BAC,P,24.71,200, ,24.7,63,24.71,19,1
2017-09-19 09:30:03,BAC,P,24.71,300, ,24.7,17,24.72,9,-1
2017-09-19 09:30:04,BAC,Y,24.71,500, ,24.7,17,24.72,9,-1
2017-09-19 09:30:04,BAC,T,24.705,200, ,24.7,17,24.72,9,-1
2017-09-19 09:30:04,BAC,B,24.701,400, ,24.7,17,24.72,9,-1
2017-09-19 09:30:04,BAC,P,24.7,100, ,24.7,17,24.72,14,-1
2017-09-19 09:30:04,BAC,T,24.7,900, ,24.7,30,24.715,15,-1
2017-09-19 09:30:05,BAC,T,24.7,500, ,24.7,15,24.71,6,-1
2017-09-19 09:30:05,BAC,K,24.7,200, ,24.7,15,24.71,2,-1
2017-09-19 09:30:05,BAC,Y,24.7,600, ,24.7,15,24.71,2,-1
2017-09-19 09:30:07,BAC,Y,24.71,2900, ,24.7,181,24.71,19,1
2017-09-19 09:30:07,BAC,P,24.71,100, ,24.7,15,24.71,4,1
2017-09-19 09:30:07,BAC,K,24.71,1100, ,24.7,20,24.71,4,1
2017-09-19 09:30:07,BAC,Z,24.705,100, ,24.7,16,24.71,4,-1
2017-09-19 09:30:07,BAC,T,24.705,100, ,24.7,16,24.71,4,-1
2017-09-19 09:30:07,BAC,N,24.7015,500, ,24.7,16,24.71,4,-1
2017-09-19 09:30:10,BAC,Y,24.71,500, ,24.7,25,24.71,9,1
2017-09-19 09:30:10,BAC,K,24.71,1900, ,24.7,25,24.71,9,1
2017-09-19 09:30:10,BAC,K,24.71,2992, ,24.7,803,24.71,49,1
2017-09-19 09:30:10,BAC,P,24.71,100, ,24.71,113,24.72,30,-1
2017-09-19 09:30:10,BAC,B,24.72,100, ,24.71,11,24.72,6,1
2017-09-19 09:30:12,BAC,T,24.72,1440, ,24.71,38,24.72,14,1
2017-09-19 09:30:13,BAC,K,24.71,2465, ,24.7,238,24.71,471,1
2017-09-19 09:30:14,BAC,Y,24.7,200, ,24.7,42,24.71,24,-1
2017-09-19 09:30:14,BAC,T,24.705,8, ,24.7,21,24.71,16,1
2017-09-19 09:30:15,BAC,B,24.71,7, ,24.7,89,24.71,69,1
